File Size = ,49MB,45MB,16MB,9.2MB,5.4MB,1.1MB,204KB,190KB,110KB,104KB
Date_Hour,Speed (MB/S),Speed (MB/S),Speed (MB/S),Speed (MB/S),Speed (MB/S),Speed (MB/S),Speed (MB/S),Speed (MB/S),Speed (MB/S),Speed (MB/S)
2024-03-29_08,31.2,29.8,5.81,16.6,10.5,2.88,1.19,0.876,0.731,0.472
2024-03-29_16,35,14.4,7.29,15.6,5.38,2.82,0.91,0.823,0.731,0.684
2024-03-29_22,32.4,13,21.5,16.7,10.5,3.63,0.929,0.817,0.731,0.691
2024-03-30_08,14.2,13.4,6.89,16.4,9.45,2.82,1.16,0.899,0.549,0.629
2024-03-30_16,36.4,13.5,23.7,14.8,11.5,3.6,0.955,0.847,0.724,0.685
2024-03-30_22,34.5,9.75,7.16,14.9,12.7,3.62,0.871,1.19,0.662,0.628
2024-03-31_08,33.3,33.8,21,16.2,10.4,2.5,0.875,0.912,0.661,0.523
2024-03-31_16,33.7,35.4,17.5,15.4,11.8,2.87,0.916,0.811,0.663,0.521
2024-03-31_22,39.4,35.1,6.58,14.1,11.6,2.87,0.947,0.888,0.665,0.623
2024-04-01_08,37.7,33,24.5,15.5,11.8,3.23,1.17,0.865,0.669,0.677
2024-04-01_16,34.5,14,7.5,16,10.6,2.85,0.934,0.878,0.502,0.634
2024-04-01_22,34.5,12.8,21.7,16.9,10.8,3.58,0.918,1.03,0.732,0.687
2024-04-02_08,29.7,33.5,8.19,18.3,10.6,3.11,1.001,1.04,0.668,0.623
2024-04-02_16,36.2,33.2,7.4,16.4,12.4,3.1,1.02,0.926,0.56,0.685
2024-04-02_22,39.2,35.7,21.3,18.3,10.9,3.18,0.933,0.931,0.721,0.52
2024-04-03_08,39.2,26.5,7.87,14.8,7.61,2.89,0.868,0.9,0.725,0.514
2024-04-03_16,39.3,33.2,7.37,17.9,11.3,3.18,0.913,0.828,0.651,0.681
2024-04-03_22,39,29.7,23.2,16.4,12.8,3.32,0.91,1.2,0.732,0.633
2024-04-04_08,39.4,31.9,7.86,15.2,9.55,3.24,0.858,0.822,0.505,0.68
2024-04-04_16,35.4,33.7,3.2,16.8,11.7,2.9,0.946,0.804,0.558,0.636
2024-04-04_22,38.7,32.9,23.9,15.4,13.2,3.18,0.876,0.872,0.66,0.668
